Brand,Product Name,Rating,No. of Ratings,Discounted Price,Original Price,Discount,Offer Price
Beardo,Don Perfume Eau De Parfum for Men,3.3,8,₹181,₹349,(48% off),₹158
PRADA,Luna Rossa Ocean Eau De Toilette,5,8,"₹6,500",N/A,N/A,"₹4,810"
ENGAGE,Luxury Travel Sized Gift Pack Eau De Perfume for Men,4.3,9,₹739,₹999,(26% off),₹517
AZZARO,Chrome 22 Eau De Parfum,5,2,"₹6,400",N/A,N/A,"₹4,800"
AJMAL,Asher for Unisex - 12 ml,4.2,16,₹875,"₹1,250",(30% off),₹650
WILD STONE,Code Acqua Eau De Parfum,3.7,61,₹650,"₹1,299",(50% off),₹455
CALVIN KLEIN,All Eau De Toilette,3.8,8,"₹3,055","₹4,700",(35% off),"₹2,955"
AZZARO,The Most Wanted Eau De Toilette Intense for Men,N/A,N/A,"₹6,760",N/A,N/A,"₹5,002"
AZZARO,Wanted Eau De Toilette,4.2,5,"₹7,100",N/A,N/A,"₹5,254"
AJMAL,Bastion EDP 100 ml,4.2,16,"₹1,200","₹1,500",(20% off),₹870
ADEN,Aden Kabul Night Perfume Spray,N/A,N/A,"₹1,590","₹3,000",(47% off),"₹1,230"
NAUTICA,Pure Blue Eau De Toilette for Men,N/A,N/A,"₹2,340","₹3,900",(40% off),"₹2,145"
PRADA,Luna Rossa Eau De Toilette,4.3,6,"₹8,600",N/A,N/A,"₹6,600"
AJMAL,Amber Santal Eau De Parfum- 100 ml,4.1,14,"₹8,400","₹14,000",(40% off),"₹6,400"
RALPH LAUREN,Polo Eau De Toilette,5,3,"₹5,400",N/A,N/A,"₹3,996"
ADIDAS,Dynamic Pulse Eau De Toilette for Men,4,6,"₹1,319","₹1,499",(12% off),"₹1,049"
RALPH LAUREN,Ralph's Club Parfum,3.8,6,"₹9,900",N/A,N/A,"₹7,900"
Tonino Lamborghini,Intenso Eau De Toilette,N/A,N/A,"₹2,300",N/A,N/A,"₹1,771"
Yardley London,Gentleman Royale Daily Wear Perfume,3.9,41,₹643,₹649,(1% off),₹552
AZZARO,Pour Homme Eau De Toilette,3.6,5,"₹4,000",N/A,N/A,"₹2,960"
Tonino Lamborghini,Mitico Eau De Toilette,N/A,N/A,"₹2,300",N/A,N/A,"₹1,748"
CALVIN KLEIN,Eternity Eau De Parfum for Men,3,2,"₹3,023","₹4,650",(35% off),"₹2,923"
Beardo,Assorted Premium Perfume Gift Set,3.6,77,₹363,₹699,(48% off),₹318
GUESS,Seductive Homme Blue Eau de Toilette -100 ml,4,14,"₹3,825","₹5,100",(25% off),"₹2,958"
Daniel Klein,Daniel Klein Oasis Eau De Parfum 100 ml,N/A,N/A,"₹1,290","₹3,250",(60% off),"₹1,073"
PARK AVENUE,Conquer Eau De Parfum,3.9,9,₹371,₹399,(7% off),₹283
POLICE,To Be Freetodare Eau De Toilette for Men,3.7,3,"₹2,200","₹2,750",(20% off),"₹1,760"
METAMAN,Men Extrait De Perfume,5,2,₹999,N/A,N/A,₹899
JOVAN MUSK,White Musk Eau De Cologne Perfume,N/A,N/A,"₹1,238","₹1,650",(25% off),₹867
DEMI DIEUS,Set of 2 Men Eau De Parfume,N/A,N/A,₹261,₹899,(71% off),N/A
